,black,blue,brown,green,grey,orange,pink,purple,red,turquoise,white,yellow,count
cluster_1,56.55%,0.03%,19.92%,0.34%,13.68%,3.92%,0.36%,0.64%,0.00%,0.17%,4.20%,0.18%,343
cluster_2,23.47%,0.00%,7.09%,0.41%,33.91%,2.93%,0.84%,0.80%,0.00%,0.41%,29.91%,0.23%,290
cluster_34,20.67%,0.17%,18.37%,0.59%,37.21%,10.22%,1.76%,0.87%,0.00%,0.45%,9.56%,0.12%,288
cluster_16,48.79%,0.06%,21.15%,0.33%,11.07%,6.56%,1.90%,0.64%,2.89%,0.19%,6.03%,0.38%,260
cluster_13,19.35%,0.25%,41.03%,0.72%,15.70%,12.98%,0.69%,0.88%,0.40%,0.19%,6.64%,1.17%,251
cluster_31,15.44%,0.17%,11.91%,0.64%,29.62%,7.35%,5.83%,1.87%,4.48%,0.65%,21.72%,0.34%,231
cluster_22,17.77%,0.19%,41.08%,0.64%,11.85%,10.75%,1.84%,0.69%,7.66%,0.31%,6.59%,0.62%,203
cluster_25,20.49%,6.09%,13.30%,0.85%,19.05%,6.93%,3.76%,1.62%,7.16%,0.97%,19.25%,0.52%,202
cluster_23,34.37%,3.78%,14.48%,0.06%,26.11%,6.33%,0.67%,1.19%,0.67%,0.35%,11.92%,0.08%,196
cluster_9,7.85%,0.19%,1.13%,0.22%,10.73%,1.46%,0.90%,0.30%,0.29%,0.58%,76.03%,0.32%,172
cluster_8,18.03%,8.53%,4.31%,0.00%,40.79%,0.93%,1.56%,2.12%,0.42%,0.87%,22.28%,0.17%,154
cluster_15,28.29%,3.04%,10.27%,7.85%,29.47%,4.30%,1.04%,1.09%,0.77%,0.42%,12.87%,0.59%,150
cluster_11,33.01%,0.70%,15.23%,0.27%,21.41%,12.38%,0.50%,0.46%,0.36%,0.34%,12.06%,3.28%,143
cluster_10,6.31%,0.21%,16.67%,0.74%,11.74%,48.92%,1.96%,0.24%,3.44%,0.12%,9.19%,0.47%,111
cluster_28,13.57%,3.20%,5.71%,0.76%,17.08%,4.78%,2.03%,0.77%,3.08%,1.96%,35.70%,11.37%,91
cluster_14,9.31%,0.52%,0.00%,0.88%,74.99%,0.89%,0.88%,0.62%,0.18%,0.42%,11.02%,0.30%,90
cluster_26,58.08%,0.16%,0.00%,0.48%,19.49%,0.32%,0.42%,0.41%,0.00%,0.33%,20.21%,0.10%,72
cluster_17,17.49%,2.03%,10.94%,9.70%,16.28%,8.16%,1.82%,0.41%,3.13%,1.07%,21.35%,7.62%,70
cluster_5,18.12%,1.72%,11.19%,28.08%,18.93%,5.08%,1.23%,1.06%,0.77%,2.12%,8.63%,3.07%,69
cluster_7,4.70%,2.56%,16.05%,0.05%,5.67%,7.27%,4.21%,1.94%,44.76%,0.41%,11.64%,0.74%,57
cluster_27,34.43%,6.98%,4.03%,8.32%,23.38%,0.06%,0.55%,4.16%,1.55%,3.04%,10.39%,3.11%,56
cluster_4,13.12%,41.81%,3.33%,1.19%,20.93%,1.28%,0.37%,3.86%,2.44%,0.93%,10.28%,0.47%,55
cluster_33,10.83%,16.65%,10.86%,3.82%,19.73%,17.38%,0.66%,2.03%,4.49%,0.25%,11.60%,1.70%,36
cluster_6,11.88%,3.11%,4.73%,8.51%,19.64%,3.64%,1.45%,0.63%,2.33%,27.74%,14.09%,2.24%,33
cluster_32,11.14%,2.25%,17.46%,3.14%,8.19%,14.70%,3.98%,1.19%,12.62%,2.89%,10.53%,11.91%,31
cluster_18,8.52%,6.64%,9.25%,0.61%,13.24%,4.69%,10.25%,15.23%,16.40%,0.40%,12.17%,2.60%,28
cluster_12,10.75%,1.12%,5.13%,1.92%,6.63%,15.05%,0.33%,0.02%,1.15%,0.37%,8.23%,49.28%,24
cluster_19,84.59%,0.92%,8.58%,1.21%,0.00%,2.40%,0.17%,0.95%,0.44%,0.11%,0.00%,0.62%,23
cluster_29,11.67%,2.75%,7.76%,21.51%,8.95%,8.90%,2.72%,2.15%,19.20%,3.92%,6.87%,3.59%,22
cluster_20,12.25%,2.03%,5.40%,64.28%,3.24%,1.34%,0.17%,0.15%,0.26%,3.60%,4.08%,3.20%,21
cluster_30,10.91%,6.34%,4.89%,1.72%,9.30%,1.51%,3.04%,50.74%,0.42%,1.74%,9.26%,0.13%,21
cluster_3,0.00%,0.00%,5.05%,0.00%,0.00%,3.30%,1.45%,0.00%,89.61%,0.00%,0.59%,0.00%,15
cluster_24,13.02%,8.59%,4.81%,14.31%,20.88%,7.65%,1.89%,0.91%,5.05%,8.44%,11.19%,3.26%,15
cluster_21,0.00%,81.63%,0.00%,0.00%,3.98%,0.35%,0.28%,7.27%,0.00%,0.12%,6.25%,0.12%,10
cluster_0,24.59%,3.13%,3.84%,4.05%,8.81%,8.68%,1.96%,15.58%,6.79%,0.55%,4.93%,17.09%,8
